Date,Predictions
2010-11-26 14:00:00+00:00,[1266.547]
2010-11-26 15:00:00+00:00,[1257.738]
2010-11-26 16:00:00+00:00,[1268.0193]
2010-11-26 17:00:00+00:00,[1237.6628]
2010-11-26 18:00:00+00:00,[1246.5503]
2010-11-26 19:00:00+00:00,[1179.8931]
2010-11-26 20:00:00+00:00,[1102.7913]
2010-11-26 21:00:00+00:00,[1055.3285]
2010-11-26 22:00:00+00:00,[968.52515]
2010-11-26 23:00:00+00:00,[954.12335]
2010-11-26 00:00:00+00:00,[940.47125]
2010-11-27 01:00:00+00:00,[945.6081]
2010-11-27 02:00:00+00:00,[951.8868]
2010-11-27 03:00:00+00:00,[950.56287]
2010-11-27 04:00:00+00:00,[938.36255]
2010-11-27 05:00:00+00:00,[965.88214]
2010-11-27 06:00:00+00:00,[1014.12476]
2010-11-27 07:00:00+00:00,[1055.5662]
2010-11-27 08:00:00+00:00,[1105.6787]
2010-11-27 09:00:00+00:00,[1115.1901]
2010-11-27 10:00:00+00:00,[1174.539]
2010-11-27 11:00:00+00:00,[1180.3927]
2010-11-27 12:00:00+00:00,[1186.9722]
2010-11-27 13:00:00+00:00,[1176.2755]
2010-11-27 14:00:00+00:00,[1157.6345]
2010-11-27 15:00:00+00:00,[1142.4755]
2010-11-27 16:00:00+00:00,[1145.5706]
2010-11-27 17:00:00+00:00,[1139.6198]
2010-11-27 18:00:00+00:00,[1124.4484]
2010-11-27 19:00:00+00:00,[1072.9802]
2010-11-27 20:00:00+00:00,[1013.2024]
2010-11-27 21:00:00+00:00,[967.1373]
2010-11-27 22:00:00+00:00,[923.5898]
2010-11-27 23:00:00+00:00,[910.314]
2010-11-27 00:00:00+00:00,[921.01447]
2010-11-28 01:00:00+00:00,[944.7557]
2010-11-28 02:00:00+00:00,[966.7768]
2010-11-28 03:00:00+00:00,[985.3977]
2010-11-28 04:00:00+00:00,[1009.7123]
2010-11-28 05:00:00+00:00,[1002.2143]
2010-11-28 06:00:00+00:00,[1046.1344]
2010-11-28 07:00:00+00:00,[1076.8658]
2010-11-28 08:00:00+00:00,[1228.5629]
2010-11-28 09:00:00+00:00,[1333.296]
2010-11-28 10:00:00+00:00,[1391.6887]
2010-11-28 11:00:00+00:00,[1444.1249]
2010-11-28 12:00:00+00:00,[1469.2706]
2010-11-28 13:00:00+00:00,[1479.4742]
2010-11-28 14:00:00+00:00,[1466.2002]
2010-11-28 15:00:00+00:00,[1496.0083]
2010-11-28 16:00:00+00:00,[1512.662]
2010-11-28 17:00:00+00:00,[1478.2001]
2010-11-28 18:00:00+00:00,[1421.1403]
2010-11-28 19:00:00+00:00,[1351.5806]
2010-11-28 20:00:00+00:00,[1180.1699]
2010-11-28 21:00:00+00:00,[1140.4187]
2010-11-28 22:00:00+00:00,[1071.5867]
2010-11-28 23:00:00+00:00,[1028.2286]
2010-11-28 00:00:00+00:00,[981.6439]
2010-11-29 01:00:00+00:00,[974.40466]
2010-11-29 02:00:00+00:00,[972.0324]
2010-11-29 03:00:00+00:00,[980.4377]
2010-11-29 04:00:00+00:00,[994.64984]
2010-11-29 05:00:00+00:00,[991.60913]
2010-11-29 06:00:00+00:00,[1064.5679]
2010-11-29 07:00:00+00:00,[1123.018]
2010-11-29 08:00:00+00:00,[1284.6233]
2010-11-29 09:00:00+00:00,[1385.0543]
2010-11-29 10:00:00+00:00,[1430.9211]
2010-11-29 11:00:00+00:00,[1456.708]
2010-11-29 12:00:00+00:00,[1437.393]
2010-11-29 13:00:00+00:00,[1426.7002]
2010-11-29 14:00:00+00:00,[1407.992]
2010-11-29 15:00:00+00:00,[1448.6494]
