datetime,temperature,Global_active_power
2010-01-01-01-00,10.00,914.2720821
2010-01-01-02-00,9.50,831.5887703
2010-01-01-03-00,9.00,847.9241327
2010-01-01-04-00,8.61,859.5873032
2010-01-01-05-00,8.22,865.3489347
2010-01-01-06-00,7.94,857.9907492
2010-01-01-07-00,7.78,918.0298662
2010-01-01-08-00,7.89,918.4375575
2010-01-01-09-00,9.44,1001.085807
2010-01-01-10-00,11.50,1054.951901
2010-01-01-11-00,13.50,1111.958967
2010-01-01-12-00,15.11,1130.808398
2010-01-01-13-00,16.33,1133.615949
2010-01-01-14-00,17.22,1116.354471
2010-01-01-15-00,17.83,1111.840785
2010-01-01-16-00,17.94,1113.523911
2010-01-01-17-00,17.44,1083.618818
2010-01-01-18-00,16.06,1059.991737
2010-01-01-19-00,14.72,1043.181222
2010-01-01-20-00,13.56,1029.903013
2010-01-01-21-00,12.72,996.4491582
2010-01-01-22-00,12.00,992.9877142
2010-01-01-23-00,11.28,991.9415783
2010-01-01-00-00,10.61,998.3435701
2010-01-02-01-00,10.06,995.0568097
2010-01-02-02-00,9.56,997.3490911
2010-01-02-03-00,9.06,1000.555671
2010-01-02-04-00,8.67,1002.352553
2010-01-02-05-00,8.33,1087.833026
2010-01-02-06-00,8.00,1085.104158
2010-01-02-07-00,7.89,1318.039431
2010-01-02-08-00,7.94,1437.292923
2010-01-02-09-00,9.56,1470.934926
2010-01-02-10-00,11.56,1508.247294
2010-01-02-11-00,13.56,1523.0027
2010-01-02-12-00,15.22,1526.236443
2010-01-02-13-00,16.39,1489.003302
2010-01-02-14-00,17.33,1519.741746
2010-01-02-15-00,17.94,1509.733329
2010-01-02-16-00,18.06,1507.34175
2010-01-02-17-00,17.61,1516.125245
2010-01-02-18-00,16.17,1534.811576
2010-01-02-19-00,14.83,1279.719686
2010-01-02-20-00,13.67,1267.374777
2010-01-02-21-00,12.78,1128.013116
2010-01-02-22-00,12.06,1083.711904
2010-01-02-23-00,11.39,1013.690626
2010-01-02-00-00,10.67,1006.527614
2010-01-03-01-00,10.17,994.540942
2010-01-03-02-00,9.67,993.2647647
2010-01-03-03-00,9.17,993.1170729
2010-01-03-04-00,8.78,993.6195025
2010-01-03-05-00,8.44,1037.906191
2010-01-03-06-00,8.17,1022.612635
2010-01-03-07-00,8.00,1265.81583
2010-01-03-08-00,8.06,1411.417948
2010-01-03-09-00,9.67,1452.760039
2010-01-03-10-00,11.67,1497.767842
2010-01-03-11-00,13.72,1518.303684
2010-01-03-12-00,15.39,1519.675384
2010-01-03-13-00,16.56,1475.510213
2010-01-03-14-00,17.50,1505.486968
2010-01-03-15-00,18.17,1495.979089
2010-01-03-16-00,18.28,1493.301988
2010-01-03-17-00,17.83,1500.813887
2010-01-03-18-00,16.39,1519.136063
2010-01-03-19-00,15.00,1263.252244
2010-01-03-20-00,13.83,1259.019915
2010-01-03-21-00,12.94,1113.107507
2010-01-03-22-00,12.22,1074.848007
2010-01-03-23-00,11.50,1000.222818
2010-01-03-00-00,10.83,1000.197117
2010-01-04-01-00,10.28,986.2067063
2010-01-04-02-00,9.78,977.6092227
2010-01-04-03-00,9.28,923.159552
2010-01-04-04-00,8.94,894.232103
2010-01-04-05-00,8.56,974.5841282
2010-01-04-06-00,8.28,972.0033489
2010-01-04-07-00,8.17,1192.575887
2010-01-04-08-00,8.17,1306.670819
2010-01-04-09-00,9.83,1355.641026
2010-01-04-10-00,11.89,1444.491406
2010-01-04-11-00,13.94,1478.810805
2010-01-04-12-00,15.56,1489.257729
2010-01-04-13-00,16.78,1457.460539
2010-01-04-14-00,17.78,1489.963369
2010-01-04-15-00,18.39,1480.305994
2010-01-04-16-00,18.50,1472.90043
2010-01-04-17-00,18.06,1482.500881
2010-01-04-18-00,16.56,1508.5343
2010-01-04-19-00,15.17,1263.82269
2010-01-04-20-00,14.06,1255.674703
2010-01-04-21-00,13.11,1110.331022
2010-01-04-22-00,12.33,1064.148079
2010-01-04-23-00,11.67,987.9144639
2010-01-04-00-00,10.94,902.6264309
2010-01-05-01-00,10.39,898.8360952
2010-01-05-02-00,9.89,909.4832667
2010-01-05-03-00,9.39,899.0877572
2010-01-05-04-00,9.06,887.5656202
2010-01-05-05-00,8.67,990.8085371
2010-01-05-06-00,8.39,986.7386611
2010-01-05-07-00,8.22,1205.705676
2010-01-05-08-00,8.28,1309.101795
2010-01-05-09-00,9.94,1410.073003
2010-01-05-10-00,12.06,1502.729642
2010-01-05-11-00,14.06,1520.011
2010-01-05-12-00,15.67,1537.261758
2010-01-05-13-00,16.94,1506.420189
2010-01-05-14-00,17.89,1531.824572
2010-01-05-15-00,18.56,1532.430379
2010-01-05-16-00,18.67,1535.345354
2010-01-05-17-00,18.22,1539.906015
2010-01-05-18-00,16.72,1560.210017
2010-01-05-19-00,15.33,1297.059097
2010-01-05-20-00,14.17,1273.517486
2010-01-05-21-00,13.28,1132.63658
2010-01-05-22-00,12.50,1092.489514
2010-01-05-23-00,11.78,989.7709688
2010-01-05-00-00,11.06,939.7512054
2010-01-06-01-00,10.44,936.0305378
2010-01-06-02-00,9.94,933.9251517
2010-01-06-03-00,9.44,921.2845445
2010-01-06-04-00,9.11,928.2177254
2010-01-06-05-00,8.72,1002.467507
2010-01-06-06-00,8.44,979.8816063
2010-01-06-07-00,8.28,1200.43958
2010-01-06-08-00,8.33,1321.21333
2010-01-06-09-00,10.00,1366.365873
2010-01-06-10-00,12.11,1428.994497
2010-01-06-11-00,14.17,1494.952584
2010-01-06-12-00,15.78,1525.662708
2010-01-06-13-00,17.00,1495.346392
2010-01-06-14-00,18.00,1529.202023
2010-01-06-15-00,18.67,1520.07803
2010-01-06-16-00,18.78,1517.748709
2010-01-06-17-00,18.39,1519.999952
2010-01-06-18-00,16.89,1542.464882
2010-01-06-19-00,15.44,1294.43099
2010-01-06-20-00,14.28,1276.252422
2010-01-06-21-00,13.33,1123.996135
2010-01-06-22-00,12.56,1075.912144
2010-01-06-23-00,11.89,1010.832468
2010-01-06-00-00,11.11,967.9831339
2010-01-07-01-00,10.50,920.6033769
2010-01-07-02-00,10.00,935.682472
2010-01-07-03-00,9.50,935.2510728
2010-01-07-04-00,9.17,933.111737
2010-01-07-05-00,8.78,919.0388111
2010-01-07-06-00,8.50,904.9368922
2010-01-07-07-00,8.33,971.256802
2010-01-07-08-00,8.44,1077.369439
2010-01-07-09-00,10.06,1096.19322
2010-01-07-10-00,12.22,1272.139799
2010-01-07-11-00,14.28,1308.670995
2010-01-07-12-00,15.94,1318.383464
2010-01-07-13-00,17.17,1276.029267
2010-01-07-14-00,18.11,1255.492716
2010-01-07-15-00,18.78,1245.012752
2010-01-07-16-00,18.94,1162.675073
2010-01-07-17-00,18.50,1168.519649
2010-01-07-18-00,17.00,1141.912979
2010-01-07-19-00,15.61,1123.135736
2010-01-07-20-00,14.39,1124.633796
2010-01-07-21-00,13.50,1018.110448
2010-01-07-22-00,12.67,1017.004121
2010-01-07-23-00,11.94,1005.209678
2010-01-07-00-00,11.17,999.7783896
2010-01-08-01-00,10.61,974.151725
2010-01-08-02-00,10.11,974.1703363
2010-01-08-03-00,9.61,969.5680389
2010-01-08-04-00,9.22,959.6329284
2010-01-08-05-00,8.89,905.0035825
2010-01-08-06-00,8.61,889.6425176
2010-01-08-07-00,8.44,966.4129855
2010-01-08-08-00,8.44,971.0966717
2010-01-08-09-00,10.11,1093.401831
2010-01-08-10-00,12.28,1109.501472
2010-01-08-11-00,14.39,1116.759738
2010-01-08-12-00,16.00,1097.485317
2010-01-08-13-00,17.22,1093.353355
2010-01-08-14-00,18.17,1083.536572
